Date,Ticker,Shares,Buy_Price,Status,Buy_Date,Holding_Days,Sell_Date,Sell_Price,Invested_Amount,Net_Profit,Current_Valuation,ROI
2026-07-01,WU,1168.0,8.56,持有,2026-03-31,92,-,-,9999.84,-831.04,9168.8,-8.31%
2026-07-01,BCE,397.0,25.17,持有,2026-03-31,92,-,-,9992.86,-1647.92,8344.94,-16.49%
2026-07-01,MPLX,180.0,55.49,持有,2026-04-01,91,-,-,9988.86,76.74,10065.6,0.77%
2026-07-01,APA,273.0,36.51,持有,2026-04-15,77,-,-,9967.87,-1267.36,8700.51,-12.71%
2026-07-01,JBS,641.0,15.6,持有,2026-04-24,68,-,-,9997.72,-2260.85,7736.87,-22.61%
2026-07-01,RL,27.0,360.06,持有,2026-05-04,58,-,-,9721.63,1024.91,10746.54,10.54%
2026-07-01,AGI,257.0,38.84,持有,2026-06-03,28,-,-,9982.32,-2192.65,7789.67,-21.97%
2026-07-01,ALV,82.0,121.3,持有,2026-06-17,14,-,-,9946.7,-652.82,9293.88,-6.56%
2026-07-01,DECK,92.0,108.11,持有,2026-06-18,13,-,-,9945.94,-715.58,9230.36,-7.19%
2026-07-01,LOGI,93.0,106.46,持有,2026-06-19,12,-,-,9900.44,-1098.92,8801.52,-11.10%
2026-07-01,NTAP,64.0,154.71,持有,2026-06-23,8,-,-,9901.73,106.59,10008.32,1.08%
2026-07-02,WU,1168.0,8.56,持有,2026-03-31,93,-,-,9999.84,-644.16,9355.68,-6.44%
2026-07-02,BCE,397.0,25.17,持有,2026-03-31,93,-,-,9992.86,-1489.12,8503.74,-14.90%
2026-07-02,MPLX,180.0,55.49,持有,2026-04-01,92,-,-,9988.86,299.94,10288.8,3.00%
2026-07-02,APA,273.0,36.51,持有,2026-04-15,78,-,-,9967.87,-1133.59,8834.28,-11.37%
2026-07-02,JBS,641.0,15.6,持有,2026-04-24,69,-,-,9997.72,-2139.06,7858.66,-21.40%
2026-07-02,RL,27.0,360.06,持有,2026-05-04,59,-,-,9721.63,1030.31,10751.94,10.60%
2026-07-02,AGI,257.0,38.84,持有,2026-06-03,29,-,-,9982.32,-1866.26,8116.06,-18.70%
2026-07-02,ALV,82.0,121.3,持有,2026-06-17,15,-,-,9946.7,-415.02,9531.68,-4.17%
2026-07-02,DECK,92.0,108.11,持有,2026-06-18,14,-,-,9945.94,-314.46,9631.48,-3.16%
2026-07-02,LOGI,93.0,106.46,持有,2026-06-19,13,-,-,9900.44,-1158.44,8742.0,-11.70%
2026-07-02,NTAP,64.0,154.71,持有,2026-06-23,9,-,-,9901.73,-34.85,9866.88,-0.35%
2026-07-03,WU,1168.0,8.56,持有,2026-03-31,94,-,-,9999.84,-679.2,9320.64,-6.79%
2026-07-03,BCE,397.0,25.17,持有,2026-03-31,94,-,-,9992.86,-1707.47,8285.39,-17.09%
2026-07-03,MPLX,180.0,55.49,持有,2026-04-01,93,-,-,9988.86,265.74,10254.6,2.66%
2026-07-03,APA,273.0,36.51,持有,2026-04-15,79,-,-,9967.87,-1106.29,8861.58,-11.10%
2026-07-03,JBS,641.0,15.6,持有,2026-04-24,70,-,-,9997.72,-2222.39,7775.33,-22.23%
2026-07-03,RL,27.0,360.06,持有,2026-05-04,60,-,-,9721.63,979.01,10700.64,10.07%
2026-07-03,AGI,257.0,38.84,持有,2026-06-03,30,-,-,9982.32,-1868.83,8113.49,-18.72%
2026-07-03,ALV,82.0,121.3,持有,2026-06-17,16,-,-,9946.7,-120.64,9826.06,-1.21%
2026-07-03,DECK,92.0,108.11,持有,2026-06-18,15,-,-,9945.94,-224.3,9721.64,-2.26%
2026-07-03,LOGI,93.0,106.46,持有,2026-06-19,14,-,-,9900.44,-839.45,9060.99,-8.48%
2026-07-03,NTAP,64.0,154.71,持有,2026-06-23,10,-,-,9901.73,565.47,10467.2,5.71%
2026-07-06,WU,1168.0,8.56,持有,2026-03-31,97,-,-,9999.84,-679.2,9320.64,-6.79%
2026-07-06,BCE,397.0,25.17,持有,2026-03-31,97,-,-,9992.86,-1707.47,8285.39,-17.09%
2026-07-06,MPLX,180.0,55.49,持有,2026-04-01,96,-,-,9988.86,265.74,10254.6,2.66%
2026-07-06,APA,273.0,36.51,持有,2026-04-15,82,-,-,9967.87,-1106.29,8861.58,-11.10%
2026-07-06,JBS,641.0,15.6,持有,2026-04-24,73,-,-,9997.72,-2222.39,7775.33,-22.23%
2026-07-06,RL,27.0,360.06,持有,2026-05-04,63,-,-,9721.63,979.01,10700.64,10.07%
2026-07-06,AGI,257.0,38.84,持有,2026-06-03,33,-,-,9982.32,-1868.83,8113.49,-18.72%
2026-07-06,ALV,82.0,121.3,持有,2026-06-17,19,-,-,9946.7,-120.64,9826.06,-1.21%
2026-07-06,DECK,92.0,108.11,持有,2026-06-18,18,-,-,9945.94,-224.3,9721.64,-2.26%
2026-07-06,LOGI,93.0,106.46,持有,2026-06-19,17,-,-,9900.44,-839.45,9060.99,-8.48%
2026-07-06,NTAP,64.0,154.71,持有,2026-06-23,13,-,-,9901.73,565.47,10467.2,5.71%
2026-07-07,WU,1168.0,8.56,持有,2026-03-31,98,-,-,9999.84,-714.24,9285.6,-7.14%
2026-07-07,BCE,397.0,25.17,持有,2026-03-31,98,-,-,9992.86,-1497.06,8495.8,-14.98%
2026-07-07,MPLX,180.0,55.49,持有,2026-04-01,97,-,-,9988.86,362.94,10351.8,3.63%
2026-07-07,APA,273.0,36.51,持有,2026-04-15,83,-,-,9967.87,-685.87,9282.0,-6.88%
2026-07-07,JBS,641.0,15.6,持有,2026-04-24,74,-,-,9997.72,-2183.93,7813.79,-21.84%
2026-07-07,RL,27.0,360.06,持有,2026-05-04,64,-,-,9721.63,951.74,10673.37,9.79%
2026-07-07,AGI,257.0,38.84,持有,2026-06-03,34,-,-,9982.32,-2138.68,7843.64,-21.42%
2026-07-07,ALV,82.0,121.3,持有,2026-06-17,20,-,-,9946.7,-191.98,9754.72,-1.93%
2026-07-07,DECK,92.0,108.11,持有,2026-06-18,19,-,-,9945.94,-186.58,9759.36,-1.88%
2026-07-07,LOGI,93.0,106.46,持有,2026-06-19,18,-,-,9900.44,-869.21,9031.23,-8.78%
2026-07-07,NTAP,64.0,154.71,持有,2026-06-23,14,-,-,9901.73,708.19,10609.92,7.15%
2026-07-08,WU,1168.0,8.56,持有,2026-03-31,99,-,-,9999.84,-982.88,9016.96,-9.83%
2026-07-08,BCE,397.0,25.17,持有,2026-03-31,99,-,-,9992.86,-1477.21,8515.65,-14.78%
2026-07-08,MPLX,180.0,55.49,持有,2026-04-01,98,-,-,9988.86,350.34,10339.2,3.51%
2026-07-08,APA,273.0,36.51,持有,2026-04-15,84,-,-,9967.87,-396.49,9571.38,-3.98%
