Date,Ticker,Shares,Buy_Price,Status,Buy_Date,Holding_Days,Sell_Date,Sell_Price,Invested_Amount,Net_Profit,Current_Valuation,ROI
2026-03-30,空仓,0.0,0.0,资金落袋为安 (空仓异常),-,0,-,-,0.0,0.0,0.0,0.00%
2026-03-31,RCI,266.0,37.56,买入,2026-03-31,0,-,-,9990.71,42.21,10032.91,0.42%
2026-03-31,RY,63.0,157.28,买入,2026-03-31,0,-,-,9908.65,153.68,10062.33,1.55%
2026-03-31,TD,109.0,91.28,买入,2026-03-31,0,-,-,9949.31,74.93,10024.24,0.75%
2026-03-31,WU,1209.0,8.27,买入,2026-03-31,0,-,-,9995.76,-123.08,9872.69,-1.23%
2026-03-31,AES,727.0,13.74,买入,2026-03-31,0,-,-,9987.43,11.31,9998.74,0.11%
2026-03-31,BCE,402.0,24.83,买入,2026-03-31,0,-,-,9982.91,-100.03,9882.88,-1.00%
2026-03-31,DKL,203.0,49.08,买入,2026-03-31,0,-,-,9963.15,-259.56,9703.59,-2.61%
2026-03-31,LNTH,135.0,73.68,买入,2026-03-31,0,-,-,9947.29,292.46,10239.75,2.94%
2026-03-31,TRV,34.0,292.76,买入,2026-03-31,0,-,-,9953.69,-111.51,9842.18,-1.12%
