Date,Ticker,Shares,Buy_Price,Status,Buy_Date,Holding_Days,Sell_Date,Sell_Price,Invested_Amount,Net_Profit,Current_Valuation,ROI
2026-09-01,WU,1209.0,8.27,持有,2026-03-31,154,-,-,9995.76,-1753.05,8242.71,-17.54%
2026-09-01,BCE,402.0,24.83,持有,2026-03-31,154,-,-,9982.91,-698.4,9284.51,-7.00%
2026-09-01,MPLX,183.0,54.5,持有,2026-04-01,153,-,-,9974.32,839.15,10813.47,8.41%
2026-09-01,APA,275.0,36.26,持有,2026-04-15,139,-,-,9970.71,2211.79,12182.5,22.18%
2026-09-01,JBS,641.0,15.6,持有,2026-04-24,130,-,-,9997.72,-1401.91,8595.81,-14.02%
2026-09-01,RL,27.0,360.06,持有,2026-05-04,120,-,-,9721.63,-519.49,9202.14,-5.34%
2026-09-01,AGI,257.0,38.8,持有,2026-06-03,90,-,-,9971.51,-1006.79,8964.72,-10.10%
2026-09-01,ALV,83.0,120.44,持有,2026-06-17,76,-,-,9996.74,-102.31,9894.43,-1.02%
2026-09-01,DECK,92.0,108.11,持有,2026-06-18,75,-,-,9945.94,-2164.58,7781.36,-21.76%
2026-09-01,LOGI,95.0,104.72,持有,2026-06-19,74,-,-,9948.06,-783.68,9164.38,-7.88%
2026-09-01,NTAP,64.0,154.25,持有,2026-06-23,70,-,-,9871.75,1850.49,11722.24,18.75%
2026-09-02,WU,1209.0,8.27,持有,2026-03-31,155,-,-,9995.76,-1472.84,8522.92,-14.73%
2026-09-02,BCE,402.0,24.83,持有,2026-03-31,155,-,-,9982.91,-702.36,9280.55,-7.04%
2026-09-02,MPLX,183.0,54.5,持有,2026-04-01,154,-,-,9974.32,820.85,10795.17,8.23%
2026-09-02,APA,275.0,36.26,持有,2026-04-15,140,-,-,9970.71,2321.79,12292.5,23.29%
2026-09-02,JBS,641.0,15.6,持有,2026-04-24,131,-,-,9997.72,-1318.58,8679.14,-13.19%
2026-09-02,RL,27.0,360.06,持有,2026-05-04,121,-,-,9721.63,-636.13,9085.5,-6.54%
2026-09-02,AGI,257.0,38.8,持有,2026-06-03,91,-,-,9971.51,-696.16,9275.35,-6.98%
2026-09-02,ALV,83.0,120.44,持有,2026-06-17,77,-,-,9996.74,60.37,10057.11,0.60%
2026-09-02,DECK,92.0,108.11,持有,2026-06-18,76,-,-,9945.94,-2240.02,7705.92,-22.52%
2026-09-02,LOGI,95.0,104.72,持有,2026-06-19,75,-,-,9948.06,-683.69,9264.37,-6.87%
2026-09-02,NTAP,64.0,154.25,持有,2026-06-23,71,-,-,9871.75,1697.53,11569.28,17.20%
2026-09-03,WU,1209.0,8.27,持有,2026-03-31,156,-,-,9995.76,-1531.22,8464.54,-15.32%
2026-09-03,BCE,402.0,24.83,持有,2026-03-31,156,-,-,9982.91,-539.76,9443.15,-5.41%
2026-09-03,MPLX,183.0,54.5,持有,2026-04-01,155,-,-,9974.32,884.9,10859.22,8.87%
2026-09-03,APA,275.0,36.26,持有,2026-04-15,141,-,-,9970.71,2178.79,12149.5,21.85%
2026-09-03,JBS,641.0,15.6,持有,2026-04-24,132,-,-,9997.72,-1574.98,8422.74,-15.75%
2026-09-03,RL,27.0,360.06,持有,2026-05-04,122,-,-,9721.63,-428.23,9293.4,-4.40%
2026-09-03,AGI,257.0,38.8,持有,2026-06-03,92,-,-,9971.51,-295.67,9675.84,-2.97%
2026-09-03,ALV,83.0,120.44,持有,2026-06-17,78,-,-,9996.74,382.41,10379.15,3.83%
2026-09-03,DECK,92.0,108.11,持有,2026-06-18,77,-,-,9945.94,-2171.94,7774.0,-21.84%
2026-09-03,LOGI,95.0,104.72,持有,2026-06-19,76,-,-,9948.06,-443.53,9504.53,-4.46%
2026-09-03,NTAP,64.0,154.25,持有,2026-06-23,72,-,-,9871.75,1992.57,11864.32,20.18%
2026-09-04,WU,1209.0,8.27,持有,2026-03-31,157,-,-,9995.76,-1612.95,8382.82,-16.14%
2026-09-04,BCE,402.0,24.83,持有,2026-03-31,157,-,-,9982.91,-595.28,9387.63,-5.96%
2026-09-04,MPLX,183.0,54.5,持有,2026-04-01,156,-,-,9974.32,945.29,10919.61,9.48%
2026-09-04,APA,275.0,36.26,持有,2026-04-15,142,-,-,9970.71,1791.04,11761.75,17.96%
2026-09-04,JBS,641.0,15.6,持有,2026-04-24,133,-,-,9997.72,-1645.49,8352.23,-16.46%
2026-09-04,RL,27.0,360.06,持有,2026-05-04,123,-,-,9721.63,-239.23,9482.4,-2.46%
2026-09-04,AGI,257.0,38.8,持有,2026-06-03,93,-,-,9971.51,-480.51,9491.0,-4.82%
2026-09-04,ALV,83.0,120.44,持有,2026-06-17,79,-,-,9996.74,394.86,10391.6,3.95%
2026-09-04,DECK,92.0,108.11,持有,2026-06-18,78,-,-,9945.94,-2051.42,7894.52,-20.63%
2026-09-04,LOGI,95.0,104.72,持有,2026-06-19,77,-,-,9948.06,-411.76,9536.3,-4.14%
2026-09-04,NTAP,64.0,154.25,持有,2026-06-23,73,-,-,9871.75,2006.01,11877.76,20.32%
2026-09-07,WU,1209.0,8.27,持有,2026-03-31,160,-,-,9995.76,-1823.1,8172.66,-18.24%
2026-09-07,BCE,402.0,24.83,持有,2026-03-31,160,-,-,9982.91,-603.21,9379.7,-6.04%
2026-09-07,MPLX,183.0,54.5,持有,2026-04-01,159,-,-,9974.32,974.57,10948.89,9.77%
2026-09-07,APA,275.0,36.26,持有,2026-04-15,145,-,-,9970.71,2005.54,11976.25,20.11%
